Date,Week,Period,Customer,Sales Channel,Sales Rep,Item Class,Coffee Size,Item / Memo,Document Number,Location,Revenue,Quantity,Units Sold,Unit,Unit Multiplier,Package Lbs,Weight Source,Multiplier Source,Weight Review,Lbs,$/LB,Snapshot Date
2026-06-16,(26-Jun) 25,Jun 2026,GW Internet,E-Commerce : GroundworkCoffee.com,- House Account -,Finished Goods: Roasted Coffee,12oz,Org Ethiopia Heirloom Blend GW (12oz) Drip/Pour Over,INV845807,LA : 1ROASTERY (LA),19.0,1.0,1.0,,1.0,0.75,Sum of # of Units x weight by lbs,Not used - authoritative units,False,0.75,25.333333333333332,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,King's Fish House Group,Foodservice : Foodservice Direct,Carlos Acuna,Finished Goods: Tea,- None -,"1oz - 50ct, Black Iced Tea, Supreme Leaf",INV845808,LA : 1ROASTERY (LA),24.26,50.0,50.0,,1.0,0.0,Fallback parser,Legacy fallback,True,0.0,0.0,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,King's Fish House Group,Foodservice : Foodservice Direct,Carlos Acuna,Finished Goods: Roasted Coffee,5lb,Org Bitches Brew GW (5lb),INV845808,LA : 1ROASTERY (LA),59.51,1.0,1.0,,1.0,5.0,Sum of # of Units x weight by lbs,Not used - authoritative units,False,5.0,11.902,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,Self Love,Foodservice : Foodservice Direct,Jonathan Ghattas,Ancillary Products,- None -,"FILTERS, 1.5 GAL, Item #Gem 6-101",INV845809,LA : 1ROASTERY (LA),30.67,1.0,1.0,,1.0,0.0,Fallback parser,Legacy fallback,True,0.0,0.0,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,Self Love,Foodservice : Foodservice Direct,Jonathan Ghattas,Ancillary Products,- None -,"Powder, 3lb bag: Vanilla Express",INV845809,LA : 1ROASTERY (LA),434.25,15.0,15.0,,1.0,0.0,Fallback parser,Legacy fallback,True,0.0,0.0,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,King's Fish House Group,Foodservice : Foodservice Direct,Carlos Acuna,Finished Goods: Tea,- None -,"1oz - 50ct, Black Iced Tea, Supreme Leaf",INV845810,LA : 1ROASTERY (LA),48.52,100.0,100.0,,1.0,0.0,Fallback parser,Legacy fallback,True,0.0,0.0,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,King's Fish House Group,Foodservice : Foodservice Direct,Carlos Acuna,Finished Goods: Tea,- None -,"1oz - 50 ct, Passion Fruit Iced Tea",INV845810,LA : 1ROASTERY (LA),28.46,50.0,50.0,,1.0,0.0,Fallback parser,Legacy fallback,True,0.0,0.0,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,King's Fish House Group,Foodservice : Foodservice Direct,Carlos Acuna,Finished Goods: Roasted Coffee,5lb,Org Bitches Brew GW (5lb),INV845810,LA : 1ROASTERY (LA),119.02,2.0,1.0,,1.0,5.0,Sum of # of Units x weight by lbs,Not used - authoritative units,False,5.0,23.804,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,King's Fish House Group,Foodservice : Foodservice Direct,Carlos Acuna,Finished Goods: Tea,- None -,"1oz - 50ct, Black Iced Tea, Supreme Leaf",INV845811,LA : 1ROASTERY (LA),72.78,150.0,150.0,,1.0,0.0,Fallback parser,Legacy fallback,True,0.0,0.0,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,King's Fish House Group,Foodservice : Foodservice Direct,Carlos Acuna,Finished Goods: Roasted Coffee,5lb,Org Bitches Brew GW (5lb),INV845811,LA : 1ROASTERY (LA),178.53,3.0,1.0,,1.0,5.0,Sum of # of Units x weight by lbs,Not used - authoritative units,False,5.0,35.706,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,King's Fish House Group,Foodservice : Foodservice Direct,Carlos Acuna,Finished Goods: Roasted Coffee,5lb,Org Bitches Brew GW (5lb),INV845812,LA : 1ROASTERY (LA),119.02,2.0,1.0,,1.0,5.0,Sum of # of Units x weight by lbs,Not used - authoritative units,False,5.0,23.804,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,King's Fish House Group,Foodservice : Foodservice Direct,Carlos Acuna,Finished Goods: Roasted Coffee,- None -,"Espresso Pods, Single Shot, 120/case_x000D_
",INV845813,LA : 1ROASTERY (LA),55.29,1.0,120.0,,120.0,0.0,Fallback parser,Legacy fallback,True,0.0,0.0,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,King's Fish House Group,Foodservice : Foodservice Direct,Carlos Acuna,Finished Goods: Tea,- None -,"1oz - 50ct, Black Iced Tea, Supreme Leaf",INV845813,LA : 1ROASTERY (LA),48.52,100.0,100.0,,1.0,0.0,Fallback parser,Legacy fallback,True,0.0,0.0,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,King's Fish House Group,Foodservice : Foodservice Direct,Carlos Acuna,Finished Goods: Roasted Coffee,5lb,Org Bitches Brew GW (5lb),INV845813,LA : 1ROASTERY (LA),119.02,2.0,1.0,,1.0,5.0,Sum of # of Units x weight by lbs,Not used - authoritative units,False,5.0,23.804,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,King's Fish House Group,Foodservice : Foodservice Direct,Carlos Acuna,Finished Goods: Roasted Coffee,- None -,"Espresso Pods, Single Shot, 120/case_x000D_
",INV845814,LA : 1ROASTERY (LA),55.29,1.0,120.0,,120.0,0.0,Fallback parser,Legacy fallback,True,0.0,0.0,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,King's Fish House Group,Foodservice : Foodservice Direct,Carlos Acuna,Finished Goods: Roasted Coffee,5lb,Org Bitches Brew GW (5lb),INV845814,LA : 1ROASTERY (LA),59.51,1.0,1.0,,1.0,5.0,Sum of # of Units x weight by lbs,Not used - authoritative units,False,5.0,11.902,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,King's Fish House Group,Foodservice : Foodservice Direct,Carlos Acuna,Finished Goods: Roasted Coffee,- None -,"Espresso Pods, Single Shot, 120/case_x000D_
",INV845815,LA : 1ROASTERY (LA),47.0,1.0,120.0,,120.0,0.0,Fallback parser,Legacy fallback,True,0.0,0.0,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,King's Fish House Group,Foodservice : Foodservice Direct,Carlos Acuna,Finished Goods: Tea,- None -,"1oz - 50ct, Black Iced Tea, Supreme Leaf",INV845815,LA : 1ROASTERY (LA),48.52,100.0,100.0,,1.0,0.0,Fallback parser,Legacy fallback,True,0.0,0.0,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,King's Fish House Group,Foodservice : Foodservice Direct,Carlos Acuna,Finished Goods: Roasted Coffee,5lb,Org Bitches Brew GW (5lb),INV845815,LA : 1ROASTERY (LA),119.02,2.0,1.0,,1.0,5.0,Sum of # of Units x weight by lbs,Not used - authoritative units,False,5.0,23.804,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,Whole Foods Market,Grocery : Grocery Direct,Kristen Springer,Finished Goods: Roasted Coffee,12oz,Org Black Gold GW (12oz),INV845816,LA : 1ROASTERY (LA),66.72,1.0,6.0,,1.0,0.75,Sum of # of Units x weight by lbs,Not used - authoritative units,False,4.5,14.826666666666666,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,Whole Foods Market,Grocery : Grocery Direct,Kristen Springer,Finished Goods: Roasted Coffee,12oz,Org Big Easy GW (12oz) Drip/Pour Over,INV845816,LA : 1ROASTERY (LA),66.72,1.0,6.0,,1.0,0.75,Sum of # of Units x weight by lbs,Not used - authoritative units,False,4.5,14.826666666666666,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,Whole Foods Market,Grocery : Grocery Direct,Kristen Springer,Finished Goods: Roasted Coffee,12oz,Org Bitches Brew GW (12oz),INV845816,LA : 1ROASTERY (LA),133.44,2.0,6.0,,1.0,0.75,Sum of # of Units x weight by lbs,Not used - authoritative units,False,4.5,29.653333333333332,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,King's Fish House Group,Foodservice : Foodservice Direct,Carlos Acuna,Finished Goods: Tea,- None -,"1oz - 50ct, Black Iced Tea, Supreme Leaf",INV845817,LA : 1ROASTERY (LA),48.52,100.0,100.0,,1.0,0.0,Fallback parser,Legacy fallback,True,0.0,0.0,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,King's Fish House Group,Foodservice : Foodservice Direct,Carlos Acuna,Ancillary Products,- None -,"Numi Tea, 100ct: Breakfast Blend",INV845817,LA : 1ROASTERY (LA),33.25,1.0,1.0,,1.0,0.0,Fallback parser,Legacy fallback,True,0.0,0.0,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,King's Fish House Group,Foodservice : Foodservice Direct,Carlos Acuna,Ancillary Products,- None -,"Numi Tea, 100ct: Chamomile Lemon",INV845817,LA : 1ROASTERY (LA),33.25,1.0,1.0,,1.0,0.0,Fallback parser,Legacy fallback,True,0.0,0.0,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,King's Fish House Group,Foodservice : Foodservice Direct,Carlos Acuna,Ancillary Products,- None -,"Numi Tea, 100ct: Jasmine Green",INV845817,LA : 1ROASTERY (LA),33.25,1.0,1.0,,1.0,0.0,Fallback parser,Legacy fallback,True,0.0,0.0,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,King's Fish House Group,Foodservice : Foodservice Direct,Carlos Acuna,Finished Goods: Roasted Coffee,5lb,Org Bitches Brew GW (5lb),INV845817,LA : 1ROASTERY (LA),59.51,1.0,1.0,,1.0,5.0,Sum of # of Units x weight by lbs,Not used - authoritative units,False,5.0,11.902,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,King's Fish House Group,Foodservice : Foodservice Direct,Carlos Acuna,Finished Goods: Roasted Coffee,- None -,"Espresso Pods, Single Shot, 120/case_x000D_
",INV845818,LA : 1ROASTERY (LA),47.0,1.0,120.0,,120.0,0.0,Fallback parser,Legacy fallback,True,0.0,0.0,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,King's Fish House Group,Foodservice : Foodservice Direct,Carlos Acuna,Finished Goods: Tea,- None -,"1oz - 50ct, Black Iced Tea, Supreme Leaf",INV845818,LA : 1ROASTERY (LA),24.26,50.0,50.0,,1.0,0.0,Fallback parser,Legacy fallback,True,0.0,0.0,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,GW Internet,E-Commerce : GroundworkCoffee.com,- House Account -,Finished Goods: Roasted Coffee,12oz,Org Papua New Guinea GW (12oz),INV845819,LA : 1ROASTERY (LA),50.0,1.0,1.0,,1.0,0.75,Sum of # of Units x weight by lbs,Not used - authoritative units,False,0.75,66.66666666666667,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,GW Internet,E-Commerce : GroundworkCoffee.com,- House Account -,Finished Goods: Roasted Coffee,2oz,Org Regenerative Certified Peru GW (2oz),INV845819,LA : 1ROASTERY (LA),4.0,1.0,1.0,,1.0,0.125,Sum of # of Units x weight by lbs,Not used - authoritative units,False,0.125,32.0,2026-07-21
